Locatiecode;Zone;Soort locatie;Diepte;Breedte;Vrije hoogte;Max belasting (kg)
01-12-3;STELLING A;Picklocatie;30;40;22;12
01-12-4;STELLING A;Picklocatie;30;40;22;12
02-01-1;STELLING A;Picklocatie;30;40;22;12
02-01-2;STELLING A;Picklocatie;30;40;22;12
02-01-3;STELLING A;Picklocatie;30;40;22;12
02-01-4;STELLING A;Picklocatie;;;;
02-02-1;STELLING A;Picklocatie;30;40;22;12
02-02-2;STELLING A;Picklocatie;30;40;22;12
02-02-3;STELLING A;Picklocatie;30;40;22;12
02-02-4;STELLING A;Picklocatie;30;40;22;12
02-03-1;STELLING A;Picklocatie;;;;
02-03-2;STELLING A;Picklocatie;30;40;22;12
02-03-3;STELLING A;Picklocatie;30;40;22;12
02-03-4;STELLING A;Picklocatie;30;40;22;12
02-04-1;STELLING A;Picklocatie;30;40;22;12
02-04-2;STELLING A;Picklocatie;30;40;22;12
02-04-3;STELLING A;Picklocatie;30;40;22;12
02-04-4;STELLING A;Picklocatie;30;40;22;12
02-05-1;STELLING A;Picklocatie;30;40;22;12
02-05-2;STELLING A;Picklocatie;30;40;22;12
02-05-3;STELLING A;Picklocatie;30;40;22;12
02-05-4;STELLING A;Picklocatie;30;40;22;12
02-06-1;STELLING A;Picklocatie;30;40;22;12
02-06-2;STELLING A;Picklocatie;30;40;22;12
02-06-3;STELLING A;Picklocatie;;;;
02-06-4;STELLING A;Picklocatie;30;40;22;12
02-07-1;STELLING A;Picklocatie;30;40;22;12
02-07-2;STELLING A;Picklocatie;30;40;22;12
02-07-3;STELLING A;Picklocatie;30;40;22;12
02-07-4;STELLING A;Picklocatie;30;40;22;12
02-08-1;STELLING A;Picklocatie;30;40;22;12
02-08-2;STELLING A;Picklocatie;30;40;22;12
02-08-3;STELLING A;Picklocatie;;;;
02-08-4;STELLING A;Picklocatie;30;40;22;12
02-09-1;STELLING A;Picklocatie;30;40;22;12
02-09-2;STELLING A;Picklocatie;;;;
02-09-3;STELLING A;Picklocatie;;;;
02-09-4;STELLING A;Picklocatie;30;40;22;12
02-10-1;STELLING A;Picklocatie;30;40;22;12
02-10-2;STELLING A;Picklocatie;30;40;22;12
02-10-3;STELLING A;Picklocatie;30;40;22;12
02-10-4;STELLING A;Picklocatie;30;40;22;12
02-11-1;STELLING A;Picklocatie;;;;
02-11-2;STELLING A;Picklocatie;30;40;22;12
02-11-3;STELLING A;Picklocatie;30;40;22;12
02-11-4;STELLING A;Picklocatie;30;40;22;12
02-12-1;STELLING A;Picklocatie;30;40;22;12
02-12-2;STELLING A;Picklocatie;30;40;22;12
02-12-3;STELLING A;Picklocatie;30;40;22;12
02-12-4;STELLING A;Picklocatie;30;40;22;12
03-01-1;STELLING A;Picklocatie;30;40;22;12
03-01-2;STELLING A;Picklocatie;30;40;22;12
03-01-3;STELLING A;Picklocatie;30;40;22;12
03-01-4;STELLING A;Picklocatie;30;40;22;12
03-02-1;STELLING A;Picklocatie;30;40;22;12
03-02-2;STELLING A;Picklocatie;30;40;22;12
03-02-3;STELLING A;Picklocatie;30;40;22;12
03-02-4;STELLING A;Picklocatie;30;40;22;12
03-03-1;STELLING A;Picklocatie;30;40;22;12
03-03-2;STELLING A;Picklocatie;30;40;22;12
03-03-3;STELLING A;Picklocatie;;;;
03-03-4;STELLING A;Picklocatie;30;40;22;12
03-04-1;STELLING A;Picklocatie;30;40;22;12
03-04-2;STELLING A;Picklocatie;30;40;22;12
03-04-3;STELLING A;Picklocatie;30;40;22;12
03-04-4;STELLING A;Picklocatie;30;40;22;12
03-05-1;STELLING A;Picklocatie;30;40;22;12
03-05-2;STELLING A;Picklocatie;30;40;22;12
03-05-3;STELLING A;Picklocatie;30;40;22;12
03-05-4;STELLING A;Picklocatie;;;;
03-06-1;STELLING A;Picklocatie;30;40;22;12
03-06-2;STELLING A;Picklocatie;30;40;22;12
03-06-3;STELLING A;Picklocatie;30;40;22;12
03-06-4;STELLING A;Picklocatie;30;40;22;12
03-07-1;STELLING A;Picklocatie;30;40;22;12
03-07-2;STELLING A;Picklocatie;30;40;22;12
03-07-3;STELLING A;Picklocatie;;;;
03-07-4;STELLING A;Picklocatie;30;40;22;12
03-08-1;STELLING A;Picklocatie;;;;
03-08-2;STELLING A;Picklocatie;;;;
03-08-3;STELLING A;Picklocatie;30;40;22;12
03-08-4;STELLING A;Picklocatie;30;40;22;12
03-09-1;STELLING A;Picklocatie;30;40;22;12
03-09-2;STELLING A;Picklocatie;;;;
03-09-3;STELLING A;Picklocatie;;;;
03-09-4;STELLING A;Picklocatie;30;40;22;12
03-10-1;STELLING A;Picklocatie;;;;
03-10-2;STELLING A;Picklocatie;30;40;22;12
03-10-3;STELLING A;Picklocatie;;;;
03-10-4;STELLING A;Picklocatie;30;40;22;12
03-11-1;STELLING A;Picklocatie;30;40;22;12
03-11-2;STELLING A;Picklocatie;30;40;22;12
03-11-3;STELLING A;Picklocatie;30;40;22;12
03-11-4;STELLING A;Picklocatie;30;40;22;12
03-12-1;STELLING A;Picklocatie;30;40;22;12
03-12-2;STELLING A;Picklocatie;30;40;22;12
03-12-3;STELLING A;Picklocatie;30;40;22;12
03-12-4;STELLING A;Picklocatie;30;40;22;12
04-01-1;STELLING B;Picklocatie;60;40;35;45
04-01-2;STELLING B;Picklocatie;60;40;35;45
04-01-3;STELLING B;Picklocatie;;;;
04-01-4;STELLING B;Picklocatie;;;;
04-02-1;STELLING B;Picklocatie;60;40;35;45
04-02-2;STELLING B;Picklocatie;60;40;35;45
04-02-3;STELLING B;Picklocatie;60;40;35;45
04-02-4;STELLING B;Picklocatie;60;40;35;45
04-03-1;STELLING B;Picklocatie;;;;
04-03-2;STELLING B;Picklocatie;60;40;35;45
04-03-3;STELLING B;Picklocatie;60;40;35;45
04-03-4;STELLING B;Picklocatie;60;40;35;45
04-04-1;STELLING B;Picklocatie;60;40;35;45
04-04-2;STELLING B;Picklocatie;;;;
04-04-3;STELLING B;Picklocatie;60;40;35;45
04-04-4;STELLING B;Picklocatie;60;40;35;45
04-05-1;STELLING B;Picklocatie;60;40;35;45
04-05-2;STELLING B;Picklocatie;60;40;35;45
04-05-3;STELLING B;Picklocatie;60;40;35;45
04-05-4;STELLING B;Picklocatie;60;40;35;45
04-06-1;STELLING B;Picklocatie;60;40;35;45
04-06-2;STELLING B;Picklocatie;60;40;35;45
04-06-3;STELLING B;Picklocatie;60;40;35;45
04-06-4;STELLING B;Picklocatie;60;40;35;45
04-07-1;STELLING B;Picklocatie;60;40;35;45
04-07-2;STELLING B;Picklocatie;60;40;35;45
04-07-3;STELLING B;Picklocatie;60;40;35;45
04-07-4;STELLING B;Picklocatie;60;40;35;45
04-08-1;STELLING B;Picklocatie;60;40;35;45
04-08-2;STELLING B;Picklocatie;60;40;35;45
04-08-3;STELLING B;Picklocatie;60;40;35;45
04-08-4;STELLING B;Picklocatie;60;40;35;45
04-09-1;STELLING B;Picklocatie;60;40;35;45
04-09-2;STELLING B;Picklocatie;60;40;35;45
04-09-3;STELLING B;Picklocatie;60;40;35;45
04-09-4;STELLING B;Picklocatie;;;;
04-10-1;STELLING B;Picklocatie;;;;
04-10-2;STELLING B;Picklocatie;60;40;35;45
04-10-3;STELLING B;Picklocatie;60;40;35;45
04-10-4;STELLING B;Picklocatie;60;40;35;45
04-11-1;STELLING B;Picklocatie;60;40;35;45
04-11-2;STELLING B;Picklocatie;60;40;35;45
04-11-3;STELLING B;Picklocatie;60;40;35;45
04-11-4;STELLING B;Picklocatie;60;40;35;45
04-12-1;STELLING B;Picklocatie;60;40;35;45
04-12-2;STELLING B;Picklocatie;60;40;35;45
04-12-3;STELLING B;Picklocatie;60;40;35;45
04-12-4;STELLING B;Picklocatie;60;40;35;45
05-01-1;STELLING B;Picklocatie;60;40;35;45
05-01-2;STELLING B;Picklocatie;60;40;35;45
05-01-3;STELLING B;Picklocatie;60;40;35;45
05-01-4;STELLING B;Picklocatie;60;40;35;45
05-02-1;STELLING B;Picklocatie;60;40;35;45
05-02-2;STELLING B;Picklocatie;60;40;35;45
05-02-3;STELLING B;Picklocatie;60;40;35;45
05-02-4;STELLING B;Picklocatie;60;40;35;45
05-03-1;STELLING B;Picklocatie;;;;
05-03-2;STELLING B;Picklocatie;60;40;35;45
05-03-3;STELLING B;Picklocatie;60;40;35;45
05-03-4;STELLING B;Picklocatie;60;40;35;45
05-04-1;STELLING B;Picklocatie;60;40;35;45
05-04-2;STELLING B;Picklocatie;60;40;35;45
05-04-3;STELLING B;Picklocatie;60;40;35;45
05-04-4;STELLING B;Picklocatie;60;40;35;45
05-05-1;STELLING B;Picklocatie;60;40;35;45
05-05-2;STELLING B;Picklocatie;60;40;35;45
05-05-3;STELLING B;Picklocatie;60;40;35;45
05-05-4;STELLING B;Picklocatie;60;40;35;45
05-06-1;STELLING B;Picklocatie;60;40;35;45
05-06-2;STELLING B;Picklocatie;60;40;35;45
05-06-3;STELLING B;Picklocatie;60;40;35;45
05-06-4;STELLING B;Picklocatie;60;40;35;45
05-07-1;STELLING B;Picklocatie;60;40;35;45
05-07-2;STELLING B;Picklocatie;60;40;35;45
05-07-3;STELLING B;Picklocatie;60;40;35;45
05-07-4;STELLING B;Picklocatie;60;40;35;45
05-08-1;STELLING B;Picklocatie;60;40;35;45
05-08-2;STELLING B;Picklocatie;60;40;35;45
05-08-3;STELLING B;Picklocatie;60;40;35;45
05-08-4;STELLING B;Picklocatie;60;40;35;45
05-09-1;STELLING B;Picklocatie;60;40;35;45
05-09-2;STELLING B;Picklocatie;60;40;35;45
05-09-3;STELLING B;Picklocatie;60;40;35;45
05-09-4;STELLING B;Picklocatie;;;;
05-10-1;STELLING B;Picklocatie;60;40;35;45
05-10-2;STELLING B;Picklocatie;60;40;35;45
05-10-3;STELLING B;Picklocatie;60;40;35;45
05-10-4;STELLING B;Picklocatie;60;40;35;45
05-11-1;STELLING B;Picklocatie;60;40;35;45
05-11-2;STELLING B;Picklocatie;60;40;35;45
05-11-3;STELLING B;Picklocatie;60;40;35;45
05-11-4;STELLING B;Picklocatie;60;40;35;45
05-12-1;STELLING B;Picklocatie;60;40;35;45
05-12-2;STELLING B;Picklocatie;60;40;35;45
05-12-3;STELLING B;Picklocatie;60;40;35;45
05-12-4;STELLING B;Picklocatie;60;40;35;45
06-01-1;STELLING B;Picklocatie;60;40;35;45
06-01-2;STELLING B;Picklocatie;60;40;35;45
06-01-3;STELLING B;Picklocatie;60;40;35;45
06-01-4;STELLING B;Picklocatie;60;40;35;45
06-02-1;STELLING B;Picklocatie;60;40;35;45
06-02-2;STELLING B;Picklocatie;60;40;35;45
06-02-3;STELLING B;Picklocatie;60;40;35;45
06-02-4;STELLING B;Picklocatie;60;40;35;45
06-03-1;STELLING B;Picklocatie;60;40;35;45
06-03-2;STELLING B;Picklocatie;60;40;35;45
06-03-3;STELLING B;Picklocatie;60;40;35;45
06-03-4;STELLING B;Picklocatie;60;40;35;45
06-04-1;STELLING B;Picklocatie;60;40;35;45
06-04-2;STELLING B;Picklocatie;;;;
06-04-3;STELLING B;Picklocatie;60;40;35;45
06-04-4;STELLING B;Picklocatie;60;40;35;45
06-05-1;STELLING B;Picklocatie;;;;
06-05-2;STELLING B;Picklocatie;60;40;35;45
06-05-3;STELLING B;Picklocatie;60;40;35;45
06-05-4;STELLING B;Picklocatie;60;40;35;45
06-06-1;STELLING B;Picklocatie;60;40;35;45
06-06-2;STELLING B;Picklocatie;60;40;35;45
06-06-3;STELLING B;Picklocatie;60;40;35;45
06-06-4;STELLING B;Picklocatie;60;40;35;45
06-07-1;STELLING B;Picklocatie;60;40;35;45
06-07-2;STELLING B;Picklocatie;60;40;35;45
06-07-3;STELLING B;Picklocatie;;;;
06-07-4;STELLING B;Picklocatie;60;40;35;45
06-08-1;STELLING B;Picklocatie;60;40;35;45
06-08-2;STELLING B;Picklocatie;60;40;35;45
06-08-3;STELLING B;Picklocatie;60;40;35;45
06-08-4;STELLING B;Picklocatie;60;40;35;45
06-09-1;STELLING B;Picklocatie;60;40;35;45
06-09-2;STELLING B;Picklocatie;60;40;35;45
06-09-3;STELLING B;Picklocatie;60;40;35;45
06-09-4;STELLING B;Picklocatie;60;40;35;45
06-10-1;STELLING B;Picklocatie;60;40;35;45
06-10-2;STELLING B;Picklocatie;60;40;35;45
06-10-3;STELLING B;Picklocatie;60;40;35;45
06-10-4;STELLING B;Picklocatie;60;40;35;45
06-11-1;STELLING B;Picklocatie;60;40;35;45
06-11-2;STELLING B;Picklocatie;60;40;35;45
06-11-3;STELLING B;Picklocatie;60;40;35;45
06-11-4;STELLING B;Picklocatie;60;40;35;45
06-12-1;STELLING B;Picklocatie;60;40;35;45
06-12-2;STELLING B;Picklocatie;60;40;35;45
06-12-3;STELLING B;Picklocatie;60;40;35;45
06-12-4;STELLING B;Picklocatie;60;40;35;45
07-01-1;PALLET;Bulklocatie;120;80;150;900
07-01-2;PALLET;Bulklocatie;120;80;150;900
07-01-3;PALLET;Bulklocatie;120;80;150;900
07-02-1;PALLET;Bulklocatie;120;80;150;900
07-02-2;PALLET;Bulklocatie;120;80;150;900
07-02-3;PALLET;Bulklocatie;120;80;150;900
07-03-1;PALLET;Bulklocatie;;;;
07-03-2;PALLET;Bulklocatie;120;80;150;900
07-03-3;PALLET;Bulklocatie;;;;
07-04-1;PALLET;Bulklocatie;120;80;150;900
07-04-2;PALLET;Bulklocatie;120;80;150;900
07-04-3;PALLET;Bulklocatie;120;80;150;900
07-05-1;PALLET;Bulklocatie;120;80;150;900
07-05-2;PALLET;Bulklocatie;120;80;150;900
07-05-3;PALLET;Bulklocatie;120;80;150;900
07-06-1;PALLET;Bulklocatie;120;80;150;900
07-06-2;PALLET;Bulklocatie;120;80;150;900
07-06-3;PALLET;Bulklocatie;120;80;150;900
07-07-1;PALLET;Bulklocatie;120;80;150;900
07-07-2;PALLET;Bulklocatie;120;80;150;900
07-07-3;PALLET;Bulklocatie;120;80;150;900
07-08-1;PALLET;Bulklocatie;120;80;150;900
07-08-2;PALLET;Bulklocatie;120;80;150;900
07-08-3;PALLET;Bulklocatie;120;80;150;900
07-09-1;PALLET;Bulklocatie;120;80;150;900
07-09-2;PALLET;Bulklocatie;120;80;150;900
07-09-3;PALLET;Bulklocatie;120;80;150;900
07-10-1;PALLET;Bulklocatie;120;80;150;900
07-10-2;PALLET;Bulklocatie;120;80;150;900
07-10-3;PALLET;Bulklocatie;120;80;150;900
07-11-1;PALLET;Bulklocatie;120;80;150;900
07-11-2;PALLET;Bulklocatie;;;;
07-11-3;PALLET;Bulklocatie;120;80;150;900
07-12-1;PALLET;Bulklocatie;120;80;150;900
07-12-2;PALLET;Bulklocatie;;;;
07-12-3;PALLET;Bulklocatie;120;80;150;900
08-01-1;PALLET;Bulklocatie;120;80;150;900
08-01-2;PALLET;Bulklocatie;120;80;150;900
08-01-3;PALLET;Bulklocatie;;;;
08-02-1;PALLET;Bulklocatie;120;80;150;900
08-02-2;PALLET;Bulklocatie;120;80;150;900
08-02-3;PALLET;Bulklocatie;120;80;150;900
08-03-1;PALLET;Bulklocatie;;;;
08-03-2;PALLET;Bulklocatie;120;80;150;900
08-03-3;PALLET;Bulklocatie;;;;
08-04-1;PALLET;Bulklocatie;120;80;150;900
08-04-2;PALLET;Bulklocatie;120;80;150;900
08-04-3;PALLET;Bulklocatie;120;80;150;900
08-05-1;PALLET;Bulklocatie;120;80;150;900
08-05-2;PALLET;Bulklocatie;120;80;150;900
08-05-3;PALLET;Bulklocatie;120;80;150;900
08-06-1;PALLET;Bulklocatie;120;80;150;900
08-06-2;PALLET;Bulklocatie;120;80;150;900
08-06-3;PALLET;Bulklocatie;120;80;150;900
08-07-1;PALLET;Bulklocatie;120;80;150;900
08-07-2;PALLET;Bulklocatie;120;80;150;900
08-07-3;PALLET;Bulklocatie;;;;
08-08-1;PALLET;Bulklocatie;;;;
08-08-2;PALLET;Bulklocatie;120;80;150;900
08-08-3;PALLET;Bulklocatie;120;80;150;900
08-09-1;PALLET;Bulklocatie;;;;
08-09-2;PALLET;Bulklocatie;120;80;150;900
08-09-3;PALLET;Bulklocatie;120;80;150;900
08-10-1;PALLET;Bulklocatie;120;80;150;900
08-10-2;PALLET;Bulklocatie;;;;
08-10-3;PALLET;Bulklocatie;120;80;150;900
08-11-1;PALLET;Bulklocatie;;;;
08-11-2;PALLET;Bulklocatie;120;80;150;900
08-11-3;PALLET;Bulklocatie;120;80;150;900
08-12-1;PALLET;Bulklocatie;120;80;150;900
08-12-2;PALLET;Bulklocatie;120;80;150;900
08-12-3;PALLET;Bulklocatie;120;80;150;900
09-01-1;PALLET;Bulklocatie;120;80;150;900
09-01-2;PALLET;Bulklocatie;120;80;150;900
09-01-3;PALLET;Bulklocatie;120;80;150;900
09-02-1;PALLET;Bulklocatie;120;80;150;900
09-02-2;PALLET;Bulklocatie;;;;
09-02-3;PALLET;Bulklocatie;120;80;150;900
09-03-1;PALLET;Bulklocatie;;;;
09-03-2;PALLET;Bulklocatie;120;80;150;900
09-03-3;PALLET;Bulklocatie;120;80;150;900
09-04-1;PALLET;Bulklocatie;120;80;150;900
09-04-2;PALLET;Bulklocatie;120;80;150;900
09-04-3;PALLET;Bulklocatie;120;80;150;900
09-05-1;PALLET;Bulklocatie;120;80;150;900
09-05-2;PALLET;Bulklocatie;120;80;150;900
09-05-3;PALLET;Bulklocatie;120;80;150;900
09-06-1;PALLET;Bulklocatie;;;;
09-06-2;PALLET;Bulklocatie;120;80;150;900
09-06-3;PALLET;Bulklocatie;;;;
09-07-1;PALLET;Bulklocatie;120;80;150;900
09-07-2;PALLET;Bulklocatie;120;80;150;900
09-07-3;PALLET;Bulklocatie;120;80;150;900
09-08-1;PALLET;Bulklocatie;120;80;150;900
09-08-2;PALLET;Bulklocatie;120;80;150;900
09-08-3;PALLET;Bulklocatie;;;;
09-09-1;PALLET;Bulklocatie;120;80;150;900
09-09-2;PALLET;Bulklocatie;120;80;150;900
09-09-3;PALLET;Bulklocatie;120;80;150;900
09-10-1;PALLET;Bulklocatie;120;80;150;900
09-10-2;PALLET;Bulklocatie;120;80;150;900
09-10-3;PALLET;Bulklocatie;120;80;150;900
09-11-1;PALLET;Bulklocatie;120;80;150;900
09-11-2;PALLET;Bulklocatie;120;80;150;900
09-11-3;PALLET;Bulklocatie;120;80;150;900
09-12-1;PALLET;Bulklocatie;120;80;150;900
09-12-2;PALLET;Bulklocatie;120;80;150;900
09-12-3;PALLET;Bulklocatie;120;80;150;900
ONTVANGST;EXPEDITIE;Ontvangst;800;400;250;4000
EXP-01;EXPEDITIE;Expeditie;400;200;200;2000
